EPOCH:72, TRAIN_LOSS:0.592350553967354, VALID_LOSS:5.136346101760864
EPOCH:73, TRAIN_LOSS:0.572647669241817, VALID_LOSS:5.134616255760193
EPOCH:74, TRAIN_LOSS:0.5733463136635163, VALID_LOSS:5.151894509792328
EPOCH:75, TRAIN_LOSS:0.5437322109281228, VALID_LOSS:5.161071479320526
EPOCH:76, TRAIN_LOSS:0.5475760133781097, VALID_LOSS:5.155665993690491
EPOCH:77, TRAIN_LOSS:0.5220539529155529, VALID_LOSS:5.146094560623169
EPOCH:78, TRAIN_LOSS:0.5210377441366338, VALID_LOSS:5.218589603900909
EPOCH:79, TRAIN_LOSS:0.5063185648508534, VALID_LOSS:5.2700594663619995
EPOCH:80, TRAIN_LOSS:0.5032782377387983, VALID_LOSS:5.385695695877075
EPOCH:81, TRAIN_LOSS:0.47337353689029876, VALID_LOSS:5.39954936504364
EPOCH:82, TRAIN_LOSS:0.46897058865047236, VALID_LOSS:5.4182212352752686
EPOCH:83, TRAIN_LOSS:0.4625645400669081, VALID_LOSS:5.361669957637787
EPOCH:84, TRAIN_LOSS:0.4628613213085393, VALID_LOSS:5.476197600364685
EPOCH:85, TRAIN_LOSS:0.4404527478018521, VALID_LOSS:5.537358045578003
EPOCH:86, TRAIN_LOSS:0.4327059413105381, VALID_LOSS:5.467889189720154
EPOCH:87, TRAIN_LOSS:0.4347010714367098, VALID_LOSS:5.55055969953537
EPOCH:88, TRAIN_LOSS:0.4268644433714745, VALID_LOSS:5.562193751335144
EPOCH:89, TRAIN_LOSS:0.41634180879277805, VALID_LOSS:5.511460900306702
EPOCH:90, TRAIN_LOSS:0.4134921531320143, VALID_LOSS:5.646533191204071
EPOCH:91, TRAIN_LOSS:0.3988252282142639, VALID_LOSS:5.648661494255066
EPOCH:92, TRAIN_LOSS:0.3899781499140063, VALID_LOSS:5.622031629085541
EPOCH:93, TRAIN_LOSS:0.3942683522921827, VALID_LOSS:5.66870778799057
EPOCH:94, TRAIN_LOSS:0.3827279582947887, VALID_LOSS:5.744995653629303
EPOCH:95, TRAIN_LOSS:0.3697484876090735, VALID_LOSS:5.747082889080048
EPOCH:96, TRAIN_LOSS:0.3610972040681587, VALID_LOSS:5.761383950710297
EPOCH:97, TRAIN_LOSS:0.36655277998436914, VALID_LOSS:5.747718811035156
EPOCH:98, TRAIN_LOSS:0.3531632336094516, VALID_LOSS:5.834981322288513
EPOCH:99, TRAIN_LOSS:0.3461362109047726, VALID_LOSS:5.797509968280792
EPOCH:100, TRAIN_LOSS:0.34668255049226565, VALID_LOSS:5.874223291873932
